Regione,Anno,Giocatori,Ritesserati,Retention
Lombardia,2020->2021,2974,1743,58.6
Lombardia,2021->2022,2102,1740,82.8
Lombardia,2022->2023,2305,1879,81.5
Lombardia,2023->2024,2317,1959,84.5
Lombardia,2024->2025,2335,1967,84.2
Emilia-Romagna,2017->2018,1654,1505,91.0
Emilia-Romagna,2018->2019,1854,1575,85.0
Emilia-Romagna,2019->2020,1923,1414,73.5
Emilia-Romagna,2020->2021,1513,1074,71.0
Emilia-Romagna,2021->2022,1178,1046,88.8
Emilia-Romagna,2022->2023,1299,1134,87.3
Emilia-Romagna,2023->2024,1334,1153,86.4
Emilia-Romagna,2024->2025,1392,1220,87.6
Marche,2017->2018,676,586,86.7
Marche,2018->2019,841,579,68.8
Marche,2019->2020,705,545,77.3
Marche,2020->2021,582,451,77.5
Marche,2021->2022,534,441,82.6
Marche,2022->2023,519,448,86.3
Marche,2023->2024,547,468,85.6
Marche,2024->2025,571,482,84.4
Sicilia,2017->2018,974,864,88.7
Sicilia,2018->2019,1077,928,86.2
Sicilia,2019->2020,1124,825,73.4
Sicilia,2020->2021,892,638,71.5
Sicilia,2021->2022,698,612,87.7
Sicilia,2022->2023,765,668,87.3
Sicilia,2023->2024,788,682,86.5
Sicilia,2024->2025,808,699,86.5
Friuli-Venezia Giulia,2017->2018,332,298,89.8
Friuli-Venezia Giulia,2018->2019,351,308,87.7
Friuli-Venezia Giulia,2019->2020,332,260,78.3
Friuli-Venezia Giulia,2020->2021,277,187,67.5
Friuli-Venezia Giulia,2021->2022,205,172,83.9
Friuli-Venezia Giulia,2022->2023,220,198,90.0
Friuli-Venezia Giulia,2023->2024,249,198,79.5
Friuli-Venezia Giulia,2024->2025,219,196,89.5
Veneto,2017->2018,1177,1062,90.2
Veneto,2018->2019,1287,1149,89.3
Veneto,2019->2020,1288,1028,79.8
Veneto,2020->2021,1069,674,63.0
Veneto,2021->2022,758,652,86.0
Veneto,2022->2023,865,742,85.8
Veneto,2023->2024,889,770,86.6
Veneto,2024->2025,944,800,84.7
Liguria,2017->2018,765,633,82.7
Liguria,2018->2019,739,636,86.1
Liguria,2019->2020,715,553,77.3
Liguria,2020->2021,596,437,73.3
Liguria,2021->2022,513,417,81.3
Liguria,2022->2023,521,437,83.9
Liguria,2023->2024,556,455,81.8
Liguria,2024->2025,538,443,82.3
Sardegna,2017->2018,721,619,85.9
Sardegna,2018->2019,758,628,82.8
Sardegna,2019->2020,737,604,82.0
Sardegna,2020->2021,625,375,60.0
Sardegna,2021->2022,389,332,85.3
Sardegna,2022->2023,447,387,86.6
Sardegna,2023->2024,500,442,88.4
Sardegna,2024->2025,530,481,90.8
Umbria,2017->2018,288,258,89.6
Umbria,2018->2019,300,262,87.3
Umbria,2019->2020,287,224,78.0
Umbria,2020->2021,241,160,66.4
Umbria,2021->2022,176,138,78.4
Umbria,2022->2023,190,166,87.4
Umbria,2023->2024,200,162,81.0
Umbria,2024->2025,195,171,87.7
VAO,2017->2018,41,38,92.7
VAO,2018->2019,41,32,78.0
VAO,2019->2020,36,35,97.2
VAO,2020->2021,40,34,85.0
VAO,2021->2022,36,33,91.7
VAO,2022->2023,35,33,94.3
VAO,2023->2024,38,32,84.2
VAO,2024->2025,33,29,87.9
Basilicata,2017->2018,20,19,95.0
Basilicata,2018->2019,19,19,100.0
Basilicata,2019->2020,21,20,95.2
Basilicata,2020->2021,23,2,8.7
Basilicata,2021->2022,2,2,100.0
Basilicata,2022->2023,20,20,100.0
Basilicata,2023->2024,21,20,95.2
Basilicata,2024->2025,22,19,86.4
TRB,2017->2018,97,75,77.3
TRB,2018->2019,88,83,94.3
TRB,2019->2020,88,71,80.7
TRB,2020->2021,72,35,48.6
TRB,2021->2022,38,0,0.0
TRT,2017->2018,108,101,93.5
TRT,2018->2019,137,118,86.1
TRT,2019->2020,145,88,60.7
TRT,2020->2021,92,65,70.7
TRT,2021->2022,102,89,87.3
TRT,2022->2023,161,122,75.8
TRT,2023->2024,142,126,88.7
TRT,2024->2025,145,118,81.4
Abruzzo,2017->2018,137,121,88.3
Abruzzo,2018->2019,160,141,88.1
Abruzzo,2019->2020,196,142,72.4
Abruzzo,2020->2021,166,127,76.5
Abruzzo,2021->2022,155,124,80.0
Abruzzo,2022->2023,142,130,91.5
Abruzzo,2023->2024,189,162,85.7
Abruzzo,2024->2025,180,155,86.1
   ,2017->2018,46,4,8.7
   ,2018->2019,29,7,24.1
   ,2019->2020,39,0,0.0
   ,2020->2021,43,0,0.0
   ,2021->2022,19,0,0.0
   ,2022->2023,30,0,0.0
   ,2023->2024,34,0,0.0
   ,2024->2025,39,0,0.0
Molise,2017->2018,25,25,100.0
Molise,2018->2019,30,27,90.0
Molise,2019->2020,30,21,70.0
Molise,2020->2021,21,6,28.6
Molise,2021->2022,7,5,71.4
Molise,2022->2023,7,4,57.1
Molise,2023->2024,6,2,33.3
Molise,2024->2025,3,2,66.7
FIB,2017->2018,1,1,100.0
FIB,2018->2019,1,1,100.0
FIB,2019->2020,2,1,50.0
FIB,2020->2021,2,0,0.0
FIB,2021->2022,17,0,0.0
FIB,2023->2024,1,0,0.0
FIB,2024->2025,9,0,0.0
